,Unnamed: 0,user_id,username,date,Tweet
0,0,3169172777,Morgan Freakman,Tue Mar 05 03:20:06 +0000 2019,"['rt', 'botmarah', 'reza', 'tolol']"
1,1,752820410379403264,nau,Tue Mar 05 03:19:57 +0000 2019,"['shaiberaccount', 'wkwkwkwk', 'tolol']"
2,2,105377795,Bella Anandytha,Tue Mar 05 03:19:11 +0000 2019,"['namanya', 'bangke', 'mah', 'mo', 'sampe', 'kapan', 'jg', 'pasti', 'keciumtolol', 'aja', 'ngapain', 'nyimpen', 'bangke', 'bau']"
3,3,98343786,🍫🦋,Tue Mar 05 03:18:37 +0000 2019,"['minomiyesungie', 'sis', 'gue', 'ngasih', 'contoh', 'gue', 'nggak', 'bakal', 'bikin', 'kayak', 'gitu', 'lo', 'baca', 'kalimat', 'gue', 'jelas', 'nggak', 'sih', 'tolong', 'baca', 'semakin', 'lo', 'ngomong', 'semakin', 'keliatan', 'tolol']"
4,4,529255114,Jenengku Yoga,Tue Mar 05 03:18:17 +0000 2019,"['rt', 'halleluhellyeah', 'ngarep', 'pengen', 'punya', 'pacar', 'yang', 'religius', 'itu', 'tolol', 'sebab', 'kalo', 'beneran', 'religius', 'mana', 'mau', 'di', 'ajak', 'pacaran', 'karena', 'agama', 'm…']"
5,5,742874992455483393,valerie,Tue Mar 05 03:17:56 +0000 2019,"['tubirfess', 'dari', 'jaman', 'stan', 'lee', 'juga', 'gitu', 'bangsat', 'bgt', 'emang', 'tolol', 'gak', 'ngerti', 'lg', 'gue', 'sama', 'yg', 'begini', 'dah', 'langsung', 'report', 'as', 'spam', 'aja', 'sih', 'tweetnya', 'biar', 'kesuspend']"
6,6,1026375205122232320,wigunaargun1,Tue Mar 05 03:17:24 +0000 2019,"['pdkng', 'jenderal', 'kardus', 'n', 'jenderal', 'baper', 'kampret', 'ngak', 'malu', 'bahas', 'hutang', 'lah', 'sang', 'jenderal', 'sj', 'byk', 'hutang', 'pribadi', 'kengr', 'kok', 'ngak', 'pd', 'ngaca', 'sih', 'ya', 'pdkngnya', 'duh', 'tolol', 'banget', 'bahkan', 'ktnya', 'karyawannya', 'sj', 'blm', 'digaji', 'kok', 'mlh', 'mau', 'mensejahterakan', 'buruh', 'ktnya', 'ngakak', 'guling2', 'jokowi2periode']"
7,7,1027144114624585729,Gesta Putri,Tue Mar 05 03:17:24 +0000 2019,"['pdkng', 'jenderal', 'kardus', 'n', 'jenderal', 'baper', 'kampret', 'ngak', 'malu', 'bahas', 'hutang', 'lah', 'sang', 'jenderal', 'sj', 'byk', 'hutang', 'pribadi', 'kengr', 'kok', 'ngak', 'pd', 'ngaca', 'sih', 'ya', 'pdkngnya', 'duh', 'tolol', 'banget', 'bahkan', 'ktnya', 'karyawannya', 'sj', 'blm', 'digaji', 'kok', 'mlh', 'mau', 'mensejahterakan', 'buruh', 'ktnya', 'ngakak', 'guling2', 'jokowi2periode']"
8,8,781692220403351552,tia.,Tue Mar 05 03:16:00 +0000 2019,"['rlthingy', 'lu', 'meluk', 'meluk', 'itu', 'apa', 'ngga', 'jina', 'tolol']"
9,9,2671087013,ɪᴄᴀᴋ🍫,Tue Mar 05 03:15:35 +0000 2019,"['satantasks', 'andisvirginia', 'yolibowly', 'novasofyana', 'bljr', 'ya', 'tolol']"
10,10,902694728260509696,Siwat,Tue Mar 05 03:15:33 +0000 2019,"['rlplustor', 'tolol', 'bgt', 'anjir', 'gue', 'p', 'ktm', 'bener', 'bener', 'gainget', 'nyimpen', 'dimana', 'sementara', 'gue', 'ntar', 'balikin', 'buku', 'ke', 'perpus', 'cem', 'mana', 'anjir']"
11,11,760778680050196481,1001 pencitraan,Tue Mar 05 03:14:57 +0000 2019,"['jajangridwan19', 'consheraa', 'merdekadotcom', 'lah', 'tolol', 'km']"
12,12,181378146,Baby Paus,Tue Mar 05 03:14:22 +0000 2019,"['rt', 'ahjusi', 'uusbiasaaja', 'agama', 'ku', 'asik', 'cuman', 'orang', 'nya', 'aja', 'banyak', 'yang', 'tolol']"
13,13,108219616,bukan akun robot💦,Tue Mar 05 03:14:18 +0000 2019,"['ekekekekek', 'tolol', 'lu', 'potong', 'lanjutanya', 'httpstcodsul3oexp4']"
14,14,321176201,Nadia,Tue Mar 05 03:13:56 +0000 2019,"['tubirfess', 'gila', 'ya', 'gengsinya', 'tinggi', 'bener', 'lu', 'ngerti', 'kagum', 'sama', 'bangga', 'ga', 'sirik', 'bilang', 'aja', 'gausah', 'sok2an', 'ngatain', 'udik', 'pemikiran', 'tolol']"
